Region,City,City / neighborhood,The reference number of the deal,The date of the deal AD,Hijri date of the deal,Real estate classification,Real estate,The number of real estate,the price,Space
Riyadh region,Riyadh,Riyadh/East Riyadh,20204254,2023/06/18,29/11/1444,residential,piece of ground,1,"350,000",900.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20202135,2023/06/18,29/11/1444,residential,piece of ground,1,"350,000",765.00
Riyadh region,Riyadh,Riyadh/Nammar,20200866,2023/06/18,29/11/1444,residential,piece of ground,1,"350,000",375.00
Riyadh region,Riyadh,Riyadh/Goodness,20193938,2023/06/15,26/11/1444,residential,piece of ground,1,"350,000",403.00
Riyadh region,Riyadh,Riyadh/broad,20195543,2023/06/15,26/11/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20181850,2023/06/14,11/11/1444,residential,piece of ground,1,"350,000",759.00
Riyadh region,Riyadh,Riyadh/Manfuhah,20174005,2023/06/12,23/11/1444,residential,piece of ground,1,"350,000",175.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20166372,2023/06/11,11/22/1444,residential,piece of ground,1,"350,000",765.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20160838,2023/06/11,11/22/1444,residential,piece of ground,1,"350,000",900.00
Riyadh region,Riyadh,Riyadh/Goodness,20135396,2023/06/07,11/18/1444,residential,piece of ground,1,"350,000",240.00
Riyadh region,Riyadh,Riyadh/Al -Nahda,20136001,2023/06/07,11/18/1444,residential,piece of ground,1,"350,000",451.20
Riyadh region,Riyadh,Riyadh/Al -Badi'ah,20118037,2023/06/06,17/11/1444,residential,piece of ground,1,"350,000",293.87
Riyadh region,Riyadh,Riyadh/Goodness,20124935,2023/06/06,17/11/1444,residential,piece of ground,1,"350,000",246.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20124077,2023/06/06,17/11/1444,residential,piece of ground,1,"350,000",459.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20121370,2023/06/06,17/11/1444,residential,piece of ground,1,"350,000",804.96
Riyadh region,Riyadh,Riyadh/East Riyadh,20124078,2023/06/06,17/11/1444,residential,piece of ground,1,"350,000",459.00
Riyadh region,Riyadh,Riyadh/ Elite,20122872,2023/06/06,17/11/1444,residential,piece of ground,1,"350,000",918.00
Riyadh region,Riyadh,Riyadh/broad,20100449,2023/06/04,15/15/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20100356,2023/06/04,15/15/1444,residential,piece of ground,1,"350,000",918.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20100192,2023/06/04,15/15/1444,residential,piece of ground,1,"350,000",780.00
Riyadh region,Riyadh,Riyadh/broad,20099439,2023/06/04,15/15/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/Nammar,20099382,2023/06/04,15/15/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/Goodness,20078299,2023/06/01,11/12/1444,residential,piece of ground,1,"350,000",293.88
Riyadh region,Riyadh,Riyadh/broad,20081179,2023/06/01,11/12/1444,residential,piece of ground,1,"350,000",500.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20056895,2023/05/30,11/11/1444,residential,piece of ground,1,"350,000",780.00
Riyadh region,Riyadh,Riyadh/Manfuhah,20048948,2023/05/29,09/11/1444,residential,piece of ground,1,"350,000",161.71
Riyadh region,Riyadh,Riyadh/broad,20048882,2023/05/29,09/11/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/Manfuhah,20033937,2023/05/28,08/11/1444,residential,piece of ground,1,"350,000",217.50
Riyadh region,Riyadh,Riyadh/ Elite,20034222,2023/05/28,08/11/1444,residential,piece of ground,1,"350,000",868.97
Riyadh region,Riyadh,Riyadh/ Elite,20038718,2023/05/28,08/11/1444,residential,piece of ground,1,"350,000",900.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,20037767,2023/05/28,08/11/1444,residential,piece of ground,1,"350,000",800.00
Riyadh region,Riyadh,Riyadh/Al -Arja,20008336,2023/05/24,04/11/1444,residential,piece of ground,1,"350,000",110.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20006047,2023/05/23,03/11/1444,residential,piece of ground,1,"350,000",900.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19988475,2023/05/22,02/11/1444,residential,piece of ground,1,"350,000",735.00
Riyadh region,Riyadh,Riyadh/Nammar,19985280,2023/05/21,01/11/1444,residential,piece of ground,1,"350,000",781.26
Riyadh region,Riyadh,Riyadh/Nammar,19985229,2023/05/21,01/11/1444,residential,piece of ground,1,"350,000",718.40
Riyadh region,Riyadh,Riyadh/ Al -Ula,19984593,2023/05/21,01/11/1444,residential,piece of ground,1,"350,000",750.00
Riyadh region,Riyadh,Riyadh/Goodness,19966909,2023/05/18,10/28/1444,residential,piece of ground,1,"350,000",403.00
Riyadh region,Riyadh,Riyadh/Al Yamamah,19948372,2023/05/17,10/27/1444,residential,piece of ground,1,"350,000",199.50
Riyadh region,Riyadh,Riyadh/broad,19941871,2023/05/17,10/27/1444,residential,piece of ground,1,"350,000",517.50
Riyadh region,Riyadh,Riyadh/ Elite,19941711,2023/05/16,10/26/1444,residential,piece of ground,1,"350,000","1,110.66"
Riyadh region,Riyadh,Riyadh/broad,19930594,2023/05/15,10/10/1444,residential,piece of ground,1,"350,000",517.50
Riyadh region,Riyadh,Riyadh/Al -Fursan,19922605,2023/05/14,24/10/1444,residential,piece of ground,1,"350,000",930.48
Riyadh region,Riyadh,Riyadh/broad,19921715,2023/05/14,24/10/1444,residential,piece of ground,1,"350,000",500.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,19922606,2023/05/14,24/10/1444,residential,piece of ground,1,"350,000",750.00
Riyadh region,Riyadh,Riyadh/ Elite,19918584,2023/05/14,24/10/1444,residential,piece of ground,1,"350,000",918.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19907530,2023/05/11,10/21444,residential,piece of ground,1,"350,000",864.00
Riyadh region,Riyadh,Riyadh/Al -Fursan,19897327,2023/05/10,10/20/1444,residential,piece of ground,1,"350,000",910.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19886352,2023/05/09,10/19/1444,residential,piece of ground,1,"350,000",840.00
Riyadh region,Riyadh,Riyadh/Goodness,19875086,2023/05/08,10/18/1444,residential,piece of ground,1,"350,000",299.52
Riyadh region,Riyadh,Riyadh/East Riyadh,19855427,2023/05/07,17/10/1444,residential,piece of ground,1,"350,000",899.99
Riyadh region,Riyadh,Riyadh/broad,19844786,04/05/2023,1444/10/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/broad,19850373,04/05/2023,1444/10/1444,residential,piece of ground,1,"350,000",400.00
Riyadh region,Riyadh,Riyadh/Ghobara,19844738,04/05/2023,1444/10/1444,residential,piece of ground,1,"350,000",187.93
Riyadh region,Riyadh,Riyadh/broad,19819835,2023/05/01,10/10/1444,residential,piece of ground,1,"350,000",500.00
Riyadh region,Riyadh,Riyadh/Al -Fursan,19819919,2023/04/29,10/10/1444,residential,piece of ground,1,"350,000",903.48
Riyadh region,Riyadh,Riyadh/Goodness,19816970,2023/04/27,10/1044/1444,residential,piece of ground,1,"350,000",375.00
Riyadh region,Riyadh,Riyadh/Goodness,19797653,2023/04/16,09/25/1444,residential,piece of ground,1,"350,000",300.56
Riyadh region,Riyadh,Riyadh/broad,19780763,2023/04/13,09/22/1444,residential,piece of ground,1,"350,000",487.50
Riyadh region,Riyadh,Riyadh/Nammar,19777505,2023/04/13,09/22/1444,residential,piece of ground,1,"350,000",543.60
Riyadh region,Riyadh,Riyadh/Nammar,19776593,2023/04/13,09/22/1444,residential,piece of ground,1,"350,000",543.60
Riyadh region,Riyadh,Riyadh/broad,19756202,2023/04/12,09/21/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/Goodness,19758487,2023/04/11,09/1444/1444,residential,piece of ground,1,"350,000",250.00
Riyadh region,Riyadh,Riyadh/Nammar,19760428,2023/04/11,09/1444/1444,residential,piece of ground,1,"350,000",375.00
Riyadh region,Riyadh,Riyadh/Sultana,19743304,04/04/04,09/18/1444,residential,piece of ground,1,"350,000",154.86
Riyadh region,Riyadh,Riyadh/broad,19719938,04/04/04/06,09/15/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/broad,19718662,04/04/04/06,09/15/1444,residential,piece of ground,1,"350,000",400.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19707866,2023/04/05,1444/09/14,residential,piece of ground,1,"350,000",936.00
Riyadh region,Riyadh,Riyadh/ Elite,19718730,2023/04/05,1444/09/14,residential,piece of ground,1,"350,000",918.00
Riyadh region,Riyadh,Riyadh/broad,19708163,04/04/04/04,13/09/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/broad,19692258,04/04/04/04,13/09/1444,residential,piece of ground,1,"350,000",450.00
Riyadh region,Riyadh,Riyadh/Nammar,19703397,04/04/04/04,13/09/1444,residential,piece of ground,1,"350,000",612.66
Riyadh region,Riyadh,Riyadh/Al -Nazim,20109317,2023/06/05,16/11/1444,residential,piece of ground,1,"349,738",304.12
Riyadh region,Riyadh,Riyadh/Al -Nazim,20108943,2023/06/05,16/11/1444,residential,piece of ground,1,"347,530",302.20
Riyadh region,Riyadh,Riyadh/Al -Nazim,20109034,2023/06/05,16/11/1444,residential,piece of ground,1,"346,886",301.64
Riyadh region,Riyadh,Riyadh/East Riyadh,20165890,2023/06/11,11/22/1444,residential,piece of ground,1,"345,000",869.78
Riyadh region,Riyadh,Riyadh/broad,20099124,2023/06/04,15/15/1444,residential,piece of ground,1,"345,000",500.00
Riyadh region,Riyadh,Riyadh/Shubra,20069123,2023/05/31,11/11/1444,residential,piece of ground,1,"345,000",400.00
Riyadh region,Riyadh,Riyadh/Goodness,20056534,2023/05/30,11/11/1444,residential,piece of ground,1,"345,000",300.00
Riyadh region,Riyadh,Riyadh/broad,20031830,2023/05/28,08/11/1444,residential,piece of ground,1,"345,000",112.50
Riyadh region,Riyadh,Riyadh/broad,20031829,2023/05/28,08/11/1444,residential,piece of ground,1,"345,000",337.50
Riyadh region,Riyadh,Riyadh/ Al -Ula,19965012,2023/05/18,10/28/1444,residential,piece of ground,1,"345,000",750.00
Riyadh region,Riyadh,Riyadh/Nammar,20229517,2023/06/20,12/12/1444,residential,piece of ground,1,"342,000",750.00
Riyadh region,Riyadh,Riyadh/broad,19850913,2023/05/07,17/10/1444,residential,piece of ground,1,"342,000",462.00
Riyadh region,Riyadh,Riyadh/broad,20282940,2023/06/25,12/12/1444,residential,piece of ground,1,"340,000",225.00
Riyadh region,Riyadh,Riyadh/broad,20282939,2023/06/25,12/12/1444,residential,piece of ground,1,"340,000",225.00
Riyadh region,Riyadh,Riyadh/broad,20235622,2023/06/20,12/12/1444,residential,piece of ground,1,"340,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20220877,2023/06/19,01/12/1444,residential,piece of ground,1,"340,000",750.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20195872,2023/06/15,26/11/1444,residential,piece of ground,1,"340,000",750.00
Riyadh region,Riyadh,Riyadh/Al -Naseem,20188534,2023/06/14,11/11/1444,residential,piece of ground,1,"340,000",262.50
Riyadh region,Riyadh,Riyadh/broad,20180965,2023/06/13,24/11/1444,residential,piece of ground,1,"340,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20171128,2023/06/12,23/11/1444,residential,piece of ground,1,"340,000",918.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20099806,2023/06/04,15/15/1444,residential,piece of ground,1,"340,000",750.00
Riyadh region,Riyadh,Riyadh/broad,20076963,2023/06/01,11/12/1444,residential,piece of ground,1,"340,000",500.00
Riyadh region,Riyadh,Riyadh/Goodness,20037627,2023/05/28,08/11/1444,residential,piece of ground,1,"340,000",312.75
Riyadh region,Riyadh,Riyadh/Manfuhah,20038795,2023/05/28,08/11/1444,residential,piece of ground,1,"340,000",202.50
Riyadh region,Riyadh,Riyadh/Goodness,19991866,2023/05/22,02/11/1444,residential,piece of ground,1,"340,000",312.75
Riyadh region,Riyadh,Riyadh/Goodness,19989482,2023/05/22,02/11/1444,residential,piece of ground,1,"340,000",312.75
Riyadh region,Riyadh,Riyadh/Goodness,19984582,2023/05/21,01/11/1444,residential,piece of ground,1,"340,000",312.75
Riyadh region,Riyadh,Riyadh/broad,19984619,2023/05/21,01/11/1444,residential,piece of ground,1,"340,000",450.00
Riyadh region,Riyadh,Riyadh/Nammar,19983426,2023/05/21,01/11/1444,residential,piece of ground,1,"340,000",375.00
Riyadh region,Riyadh,Riyadh/ Al -Raya,19982755,2023/05/21,01/11/1444,residential,piece of ground,1,"340,000",900.00
Riyadh region,Riyadh,Riyadh/Nammar,19968483,2023/05/18,10/28/1444,residential,piece of ground,1,"340,000",460.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19937965,2023/05/16,10/26/1444,residential,piece of ground,1,"340,000",900.00
Riyadh region,Riyadh,Riyadh/ Elite,19893929,2023/05/10,10/20/1444,residential,piece of ground,1,"340,000",825.00
Riyadh region,Riyadh,Riyadh/Badr,19849866,04/05/2023,1444/10/1444,residential,piece of ground,1,"340,000",400.00
Riyadh region,Riyadh,Riyadh/Badr,19849802,04/05/2023,1444/10/1444,residential,piece of ground,1,"340,000",400.00
Riyadh region,Riyadh,Riyadh/Goodness,19770198,2023/04/12,09/21/1444,residential,piece of ground,1,"340,000",302.11
Riyadh region,Riyadh,Riyadh/Nammar,19770251,2023/04/12,09/21/1444,residential,piece of ground,1,"340,000",400.84
Riyadh region,Riyadh,Riyadh/Goodness,19740348,04/04/04,09/18/1444,residential,piece of ground,1,"340,000",300.00
Riyadh region,Riyadh,Riyadh/Nammar,19692000,04/04/04/04,13/09/1444,residential,piece of ground,1,"340,000",312.00
Riyadh region,Riyadh,Riyadh/Goodness,19686397,04/04/04/02,09/1444/1444,residential,piece of ground,1,"340,000",300.00
Riyadh region,Riyadh,Riyadh/Casablanca,19748695,2023/04/10,09/1444/1444,residential,piece of ground,1,"338,844",616.08
Riyadh region,Riyadh,Riyadh/Badr,20219117,2023/06/19,01/12/1444,residential,piece of ground,1,"336,000",420.00
Riyadh region,Riyadh,Riyadh/Badr,20219894,2023/06/19,01/12/1444,residential,piece of ground,1,"336,000",420.00
Riyadh region,Riyadh,Riyadh/flowers,20172340,2023/06/12,23/11/1444,residential,piece of ground,1,"335,000",455.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20098239,2023/06/04,15/15/1444,residential,piece of ground,1,"335,000",759.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,19965044,2023/05/18,10/28/1444,residential,piece of ground,1,"335,000",750.00
Riyadh region,Riyadh,Riyadh/Al -Fursan,19944498,2023/05/17,10/27/1444,residential,piece of ground,1,"335,000",840.00
Riyadh region,Riyadh,Riyadh/broad,19927739,2023/05/15,10/10/1444,residential,piece of ground,1,"335,000",450.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,19879933,2023/05/08,10/18/1444,residential,piece of ground,1,"335,000",750.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19844883,04/05/2023,1444/10/1444,residential,piece of ground,1,"335,000",918.00
Riyadh region,Riyadh,Riyadh/Nammar,19842098,2023/05/03,13/10/1444,residential,piece of ground,1,"335,000",390.24
Riyadh region,Riyadh,Riyadh/broad,19830759,2023/05/02,10/12/1444,residential,piece of ground,1,"335,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19720062,2023/04/10,09/1444/1444,residential,piece of ground,1,"335,000",840.00
Riyadh region,Riyadh,Riyadh/Janadriyah,20167310,2023/06/11,11/22/1444,residential,piece of ground,1,"334,800",216.00
Riyadh region,Riyadh,Riyadh/Al -Arja,20139956,2023/06/08,19/11/1444,residential,piece of ground,1,"333,000",400.00
Riyadh region,Riyadh,Riyadh/Casablanca,19704791,2023/04/05,1444/09/14,residential,piece of ground,1,"331,496",602.72
Riyadh region,Riyadh,Riyadh/broad,20280712,2023/06/24,12/12/1444,residential,piece of ground,1,"330,000",400.00
Riyadh region,Riyadh,Riyadh/climate,20273750,2023/06/22,04/12/1444,residential,piece of ground,1,"330,000",300.00
Riyadh region,Riyadh,Riyadh/climate,20273868,2023/06/22,04/12/1444,residential,piece of ground,1,"330,000",300.00
Riyadh region,Riyadh,Riyadh/broad,20202202,2023/06/18,29/11/1444,residential,piece of ground,1,"330,000",450.00
Riyadh region,Riyadh,Riyadh/climate,20203688,2023/06/18,29/11/1444,residential,piece of ground,1,"330,000",300.00
Riyadh region,Riyadh,Riyadh/Al -Marafa,20202267,2023/06/18,29/11/1444,residential,piece of ground,1,"330,000",787.50
Riyadh region,Riyadh,Riyadh/Al -Marafa,20193240,2023/06/18,29/11/1444,residential,piece of ground,1,"330,000",595.90
Riyadh region,Riyadh,Riyadh/East Riyadh,20177354,2023/06/13,24/11/1444,residential,piece of ground,1,"330,000",759.50
Riyadh region,Riyadh,Riyadh/broad,20178947,2023/06/13,24/11/1444,residential,piece of ground,1,"330,000",432.00
Riyadh region,Riyadh,Riyadh/Al -Marafa,20166487,2023/06/11,11/22/1444,residential,piece of ground,1,"330,000",787.50
Riyadh region,Riyadh,Riyadh/broad,20098976,2023/06/04,15/15/1444,residential,piece of ground,1,"330,000",450.00
Riyadh region,Riyadh,Riyadh/broad,20099958,2023/06/04,15/15/1444,residential,piece of ground,1,"330,000",432.00
Riyadh region,Riyadh,Riyadh/broad,20099365,2023/06/04,15/15/1444,residential,piece of ground,1,"330,000",500.00
Riyadh region,Riyadh,Riyadh/Nammar,20071634,2023/05/31,11/11/1444,residential,piece of ground,1,"330,000",225.00
Riyadh region,Riyadh,Riyadh/ Elite,20067045,2023/05/31,11/11/1444,residential,piece of ground,1,"330,000",864.00
Riyadh region,Riyadh,Riyadh/Goodness,20056055,2023/05/30,11/11/1444,residential,piece of ground,1,"330,000",218.01
Riyadh region,Riyadh,Riyadh/Nammar,20042408,2023/05/29,09/11/1444,residential,piece of ground,1,"330,000",396.00
Riyadh region,Riyadh,Riyadh/broad,20005063,2023/05/23,03/11/1444,residential,piece of ground,1,"330,000",450.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,20002404,2023/05/23,03/11/1444,residential,piece of ground,1,"330,000",750.00
Riyadh region,Riyadh,Riyadh/Al Yamamah,19986844,2023/05/22,02/11/1444,residential,piece of ground,1,"330,000",176.63
Riyadh region,Riyadh,Riyadh/Goodness,19985490,2023/05/21,01/11/1444,residential,piece of ground,1,"330,000",216.00
Riyadh region,Riyadh,Riyadh/Nammar,19974361,2023/05/20,10/30/1444,residential,piece of ground,1,"330,000",450.00
Riyadh region,Riyadh,Riyadh/ Elite,19939316,2023/05/16,10/26/1444,residential,piece of ground,1,"330,000",900.00
Riyadh region,Riyadh,Riyadh/broad,19825094,2023/05/02,10/12/1444,residential,piece of ground,1,"330,000",400.00
Riyadh region,Riyadh,Riyadh/Nammar,19830764,2023/05/01,10/10/1444,residential,piece of ground,1,"330,000",375.00
Riyadh region,Riyadh,Riyadh/Goodness,19807342,2023/04/27,10/1044/1444,residential,piece of ground,1,"330,000",225.00
Riyadh region,Riyadh,Riyadh/Nammar,19812278,2023/04/26,10/10/1444,residential,piece of ground,1,"330,000",336.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19807109,2023/04/25,10/10/1444,residential,piece of ground,1,"330,000",900.00
Riyadh region,Riyadh,Riyadh/Goodness,19807522,2023/04/21,10/10/1444,residential,piece of ground,1,"330,000",225.00
Riyadh region,Riyadh,Riyadh/broad,19806870,2023/04/19,28/09/1444,residential,piece of ground,1,"330,000",450.00
Riyadh region,Riyadh,Riyadh/broad,19801344,2023/04/17,26/09/1444,residential,piece of ground,1,"330,000",432.00
Riyadh region,Riyadh,Riyadh/Goodness,19782415,2023/04/13,09/22/1444,residential,piece of ground,1,"330,000",246.00
Riyadh region,Riyadh,Riyadh/Goodness,19770116,2023/04/12,09/21/1444,residential,piece of ground,1,"330,000",278.44
Riyadh region,Riyadh,Riyadh/broad,19728158,04/04/04/06,09/15/1444,residential,piece of ground,1,"330,000",450.00
Riyadh region,Riyadh,Riyadh/Goodness,20001246,2023/05/23,03/11/1444,residential,piece of ground,1,"327,000",211.94
Riyadh region,Riyadh,Riyadh/broad,19675974,04/04/04/02,09/1444/1444,residential,piece of ground,1,"327,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20209015,2023/06/19,01/12/1444,residential,piece of ground,1,"325,000",750.00
Riyadh region,Riyadh,Riyadh/broad,20174035,2023/06/12,23/11/1444,residential,piece of ground,1,"325,000",446.88
Riyadh region,Riyadh,Riyadh/Al -Naseem,20093355,2023/06/06,17/11/1444,residential,piece of ground,1,"325,000",345.00
Riyadh region,Riyadh,Riyadh/broad,20096896,2023/06/04,15/15/1444,residential,piece of ground,1,"325,000",432.00
Riyadh region,Riyadh,Riyadh/broad,20014219,2023/05/24,04/11/1444,residential,piece of ground,1,"325,000",429.47
Riyadh region,Riyadh,Riyadh/broad,20004220,2023/05/23,03/11/1444,residential,piece of ground,1,"325,000",450.00
Riyadh region,Riyadh,Riyadh/ Al -Raya,19952268,2023/05/17,10/27/1444,residential,piece of ground,1,"325,000",900.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,19840582,2023/05/03,13/10/1444,residential,piece of ground,1,"325,000",810.00
Riyadh region,Riyadh,Riyadh/Goodness,19826927,2023/05/01,10/10/1444,residential,piece of ground,1,"325,000",234.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,19808813,2023/04/25,10/10/1444,residential,piece of ground,1,"325,000",750.00
Riyadh region,Riyadh,Riyadh/broad,19800440,2023/04/17,26/09/1444,residential,piece of ground,1,"325,000",432.00
Riyadh region,Riyadh,Riyadh/Goodness,19792675,2023/04/14,09/23/1444,residential,piece of ground,1,"325,000",240.00
Riyadh region,Riyadh,Riyadh/Badr,20080715,2023/06/01,11/12/1444,residential,piece of ground,1,"321,732",357.48
Riyadh region,Riyadh,Riyadh/Badr,20080635,2023/06/01,11/12/1444,residential,piece of ground,1,"321,732",357.48
Riyadh region,Riyadh,Riyadh/Badr,20080565,2023/06/01,11/12/1444,residential,piece of ground,1,"321,732",357.48
Riyadh region,Riyadh,Riyadh/Badr,20080442,2023/06/01,11/12/1444,residential,piece of ground,1,"321,732",357.48
Riyadh region,Riyadh,Riyadh/Badr,20080179,2023/06/01,11/12/1444,residential,piece of ground,1,"321,732",357.48
Riyadh region,Riyadh,Riyadh/Badr,20072555,2023/05/31,11/11/1444,residential,piece of ground,1,"321,732",357.48
Riyadh region,Riyadh,Riyadh/Badr,20072011,2023/05/31,11/11/1444,residential,piece of ground,1,"321,732",357.48
Riyadh region,Riyadh,Riyadh/King Fahd,20226759,2023/06/20,12/12/1444,residential,piece of ground,1,"321,000",520.00
Riyadh region,Riyadh,Riyadh/broad,20244636,2023/06/20,12/12/1444,residential,piece of ground,1,"320,000",450.00
Riyadh region,Riyadh,Riyadh/ Al -Raya,20200151,2023/06/18,29/11/1444,residential,piece of ground,1,"320,000",900.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20160008,2023/06/11,11/22/1444,residential,piece of ground,1,"320,000",750.00
Riyadh region,Riyadh,Riyadh/Nammar,20125512,2023/06/06,17/11/1444,residential,piece of ground,1,"320,000",225.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20100496,2023/06/04,15/15/1444,residential,piece of ground,1,"320,000",750.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20071012,2023/05/31,11/11/1444,residential,piece of ground,1,"320,000",759.00
Riyadh region,Riyadh,Riyadh/broad,20058017,2023/05/30,11/11/1444,residential,piece of ground,1,"320,000",432.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20037694,2023/05/28,08/11/1444,residential,piece of ground,1,"320,000",450.00
Riyadh region,Riyadh,Riyadh/broad,20012914,2023/05/24,04/11/1444,residential,piece of ground,1,"320,000",447.08
Riyadh region,Riyadh,Riyadh/ Al -Shula,19979813,2023/05/21,01/11/1444,residential,piece of ground,1,"320,000",750.00
Riyadh region,Riyadh,Riyadh/ Al -Ula,19981736,2023/05/21,01/11/1444,residential,piece of ground,1,"320,000",765.00
Riyadh region,Riyadh,Riyadh/Goodness,19965902,2023/05/18,10/28/1444,residential,piece of ground,1,"320,000",225.00
Riyadh region,Riyadh,Riyadh/broad,19967332,2023/05/18,10/28/1444,residential,piece of ground,1,"320,000",455.00
Riyadh region,Riyadh,Riyadh/Goodness,19927570,2023/05/16,10/26/1444,residential,piece of ground,1,"320,000",218.01
Riyadh region,Riyadh,Riyadh/ Al -Raya,19933856,2023/05/15,10/10/1444,residential,piece of ground,1,"320,000",900.00
Riyadh region,Riyadh,Riyadh/Goodness,19875647,2023/05/08,10/18/1444,residential,piece of ground,1,"320,000",221.17
Riyadh region,Riyadh,Riyadh/Al -Fursan,19875900,2023/05/08,10/18/1444,residential,piece of ground,1,"320,000",910.00
Riyadh region,Riyadh,Riyadh/broad,19880044,2023/05/08,10/18/1444,residential,piece of ground,1,"320,000",450.00
Riyadh region,Riyadh,Riyadh/ Elite,19850889,2023/05/05,15/10/1444,residential,piece of ground,1,"320,000",900.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19776912,2023/04/13,09/22/1444,residential,piece of ground,1,"320,000",750.00
Riyadh region,Riyadh,Riyadh/Badr,20204346,2023/06/18,29/11/1444,residential,piece of ground,1,"319,375",319.38
Riyadh region,Riyadh,Riyadh/Casablanca,19695832,04/04/04/06,09/15/1444,residential,piece of ground,1,"319,209",580.38
Riyadh region,Riyadh,Riyadh/Badr,20080978,2023/06/01,11/12/1444,residential,piece of ground,1,"319,140",354.60
Riyadh region,Riyadh,Riyadh/Badr,20080794,2023/06/01,11/12/1444,residential,piece of ground,1,"319,140",354.60
Riyadh region,Riyadh,Riyadh/Okaz,20090873,2023/06/03,14/11/1444,residential,piece of ground,1,"318,287",303.13
Riyadh region,Riyadh,Riyadh/broad,20263223,2023/06/21,12/12/1444,residential,piece of ground,1,"318,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20052957,2023/05/30,11/11/1444,residential,piece of ground,1,"318,000",759.50
Riyadh region,Riyadh,Riyadh/ Al -Shula,19850886,2023/05/08,10/18/1444,residential,piece of ground,1,"318,000",750.00
Riyadh region,Riyadh,Riyadh/broad,20263246,2023/06/21,12/12/1444,residential,piece of ground,1,"317,000",450.00
Riyadh region,Riyadh,Riyadh/East Riyadh,19844474,2023/05/08,10/18/1444,residential,piece of ground,1,"317,000",900.00
Riyadh region,Riyadh,Riyadh/Nammar,20114546,2023/06/05,16/11/1444,residential,piece of ground,1,"316,666",270.00
Riyadh region,Riyadh,Riyadh/Nammar,20114374,2023/06/05,16/11/1444,residential,piece of ground,1,"316,666",270.00
Riyadh region,Riyadh,Riyadh/Nammar,20114451,2023/06/05,16/11/1444,residential,piece of ground,1,"316,666",257.50
Riyadh region,Riyadh,Riyadh/Badr,20005186,2023/05/23,03/11/1444,residential,piece of ground,1,"315,387",350.43
Riyadh region,Riyadh,Riyadh/Badr,20005167,2023/05/23,03/11/1444,residential,piece of ground,1,"315,387",350.43
Riyadh region,Riyadh,Riyadh/East Riyadh,20203161,2023/06/18,29/11/1444,residential,piece of ground,1,"315,000",630.00
Riyadh region,Riyadh,Riyadh/broad,20163362,2023/06/11,11/22/1444,residential,piece of ground,1,"315,000",405.00
Riyadh region,Riyadh,Riyadh/Atika,20108055,2023/06/08,19/11/1444,residential,piece of ground,1,"315,000",200.00
Riyadh region,Riyadh,Riyadh/East Riyadh,20122830,2023/06/06,17/11/1444,residential,piece of ground,1,"315,000",750.00
